num 	 time
2 	 49
3 	 101
4 	 152
5 	 202
6 	 203
6 	 203
6 	 204
6 	 204
6 	 205
6 	 205
6 	 206
6 	 206
6 	 207
6 	 207
6 	 208
6 	 208
6 	 209
6 	 209
6 	 210
6 	 211
6 	 211
6 	 212
6 	 212
6 	 213
6 	 213
6 	 214
6 	 214
6 	 215
6 	 215
6 	 216
6 	 216
6 	 217
6 	 217
6 	 218
6 	 219
6 	 219
6 	 220
6 	 220
6 	 221
6 	 221
6 	 222
6 	 222
6 	 223
6 	 223
6 	 224
6 	 224
6 	 225
6 	 225
6 	 226
6 	 226
6 	 227
6 	 227
6 	 228
6 	 229
6 	 229
6 	 230
6 	 230
6 	 231
6 	 231
6 	 232
6 	 232
6 	 233
6 	 233
6 	 234
6 	 234
6 	 235
6 	 235
6 	 236
6 	 237
6 	 237
6 	 238
6 	 238
6 	 239
6 	 239
6 	 240
6 	 240
6 	 241
6 	 241
6 	 242
6 	 242
6 	 243
6 	 243
6 	 244
6 	 244
6 	 245
6 	 246
6 	 246
6 	 247
6 	 247
6 	 248
6 	 248
6 	 249
6 	 249
6 	 250
6 	 250
6 	 251
6 	 251
6 	 252
6 	 252
6 	 253
6 	 253
6 	 254
6 	 255
6 	 255
6 	 256
6 	 256
6 	 257
6 	 257
6 	 258
6 	 258
6 	 259
6 	 259
6 	 260
6 	 260
6 	 261
6 	 261
6 	 262
6 	 262
6 	 263
6 	 264
6 	 264
6 	 265
6 	 265
6 	 266
6 	 266
6 	 267
6 	 267
6 	 268
6 	 268
6 	 269
6 	 269
6 	 270
6 	 270
6 	 271
6 	 271
6 	 272
6 	 272
6 	 273
6 	 273
6 	 274
6 	 275
6 	 275
6 	 276
6 	 276
6 	 277
6 	 277
6 	 278
6 	 278
6 	 279
6 	 279
6 	 280
6 	 280
6 	 281
6 	 281
6 	 282
6 	 282
6 	 283
6 	 283
6 	 284
6 	 285
6 	 285
6 	 286
6 	 286
6 	 287
6 	 287
6 	 288
6 	 288
6 	 289
6 	 289
6 	 290
6 	 290
6 	 291
6 	 291
6 	 292
6 	 292
6 	 293
6 	 293
6 	 294
6 	 294
6 	 295
6 	 296
6 	 296
6 	 297
6 	 297
6 	 298
6 	 298
6 	 299
6 	 299
6 	 300
6 	 300
6 	 301
6 	 301
6 	 302
